Spectrum,lb,av26,av31,redshift,dmb,U,B,V,UVW2,UVM2,UVW1
SN2022hrs_peak_11fe_appended,1.0,0.1,0.1,0.01,1,-19.000989,-19.609438,-19.543328,-15.950573,-14.736203,-17.49593
SN2022hrs_peak_11fe_appended,1.0,0.1,0.1,0.02,1,-18.952191,-19.609981,-19.668504,-15.920677,-14.676973,-17.423089
SN2022hrs_peak_11fe_appended,1.5,0.0,0.0,0.0,1,-19.329583,-19.861566,-19.542029,-16.305212,-15.222651,-17.838215
SN2022hrs_peak_11fe_appended,1.5,0.0,0.0,0.01,1,-19.219209,-19.869813,-19.75374,-16.27883,-15.154116,-17.768193
SN2022hrs_peak_11fe_appended,1.5,0.0,0.0,0.02,1,-19.172525,-19.869573,-19.878986,-16.252349,-15.107695,-17.695788
SN2022hrs_peak_11fe_appended,1.5,0.1,0.0,0.0,1,-19.329583,-19.861566,-19.542029,-16.305212,-15.222651,-17.838215
SN2022hrs_peak_11fe_appended,1.5,0.1,0.0,0.01,1,-19.219209,-19.869813,-19.75374,-16.27883,-15.154116,-17.768193
SN2022hrs_peak_11fe_appended,1.5,0.1,0.0,0.02,1,-19.172525,-19.869573,-19.878986,-16.252349,-15.107695,-17.695788
SN2022hrs_peak_11fe_appended,1.5,0.0,0.1,0.0,1,-19.001254,-19.58704,-19.330092,-15.898404,-14.706961,-17.486745
SN2022hrs_peak_11fe_appended,1.5,0.0,0.1,0.01,1,-18.888353,-19.593054,-19.543316,-15.868249,-14.624475,-17.415972
SN2022hrs_peak_11fe_appended,1.5,0.0,0.1,0.02,1,-18.839909,-19.590706,-19.668492,-15.838146,-14.564991,-17.342878
SN2022hrs_peak_11fe_appended,1.5,0.1,0.1,0.0,1,-19.001254,-19.58704,-19.330092,-15.898404,-14.706961,-17.486745
SN2022hrs_peak_11fe_appended,1.5,0.1,0.1,0.01,1,-18.888353,-19.593054,-19.543316,-15.868249,-14.624475,-17.415972
SN2022hrs_peak_11fe_appended,1.5,0.1,0.1,0.02,1,-18.839909,-19.590706,-19.668492,-15.838146,-14.564991,-17.342878
SN2022hrs_peak_11fe_appended,2.0,0.0,0.0,0.0,1,-19.203219,-19.848009,-19.542013,-16.211981,-15.097674,-17.749491
SN2022hrs_peak_11fe_appended,2.0,0.0,0.0,0.01,1,-19.093362,-19.852691,-19.753726,-16.185409,-15.028901,-17.679262
SN2022hrs_peak_11fe_appended,2.0,0.0,0.0,0.02,1,-19.047088,-19.849404,-19.878973,-16.158593,-14.9822,-17.606573
SN2022hrs_peak_11fe_appended,2.0,0.1,0.0,0.0,1,-19.203219,-19.848009,-19.542013,-16.211981,-15.097674,-17.749491
SN2022hrs_peak_11fe_appended,2.0,0.1,0.0,0.01,1,-19.093362,-19.852691,-19.753726,-16.185409,-15.028901,-17.679262
SN2022hrs_peak_11fe_appended,2.0,0.1,0.0,0.02,1,-19.047088,-19.849404,-19.878973,-16.158593,-14.9822,-17.606573
SN2022hrs_peak_11fe_appended,2.0,0.0,0.1,0.0,1,-18.875008,-19.573891,-19.330077,-15.80941,-14.582657,-17.400641
SN2022hrs_peak_11fe_appended,2.0,0.0,0.1,0.01,1,-18.762666,-19.57642,-19.543303,-15.779168,-14.499917,-17.329655
SN2022hrs_peak_11fe_appended,2.0,0.0,0.1,0.02,1,-18.714661,-19.571083,-19.668479,-15.748821,-14.440118,-17.256266
SN2022hrs_peak_11fe_appended,2.0,0.1,0.1,0.0,1,-18.875008,-19.573891,-19.330077,-15.80941,-14.582657,-17.400641
SN2022hrs_peak_11fe_appended,2.0,0.1,0.1,0.01,1,-18.762666,-19.57642,-19.543303,-15.779168,-14.499917,-17.329655
SN2022hrs_peak_11fe_appended,2.0,0.1,0.1,0.02,1,-18.714661,-19.571083,-19.668479,-15.748821,-14.440118,-17.256266
